PaymentData(id=3, limitBalance=90000, sex=2, education=2, marriage=2, age=34, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=29239, bill2=14027, bill3=13559, bill4=14331, bill5=14948, bill6=15549, payv1=1518, payv2=1500, payv3=1000, payv4=1000, payv5=1000, payv6=5000, defaultPaymentNextMonth=0)PaymentData(id=4, limitBalance=50000, sex=2, education=2, marriage=1, age=37, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=46990, bill2=48233, bill3=49291, bill4=28314, bill5=28959, bill6=29547, payv1=2000, payv2=2019, payv3=1200, payv4=1100, payv5=1069, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=5, limitBalance=50000, sex=1, education=2, marriage=1, age=57, pay0=-1, pay2=0, pay3=-1, pay4=0, pay5=0, pay6=0, bill1=8617, bill2=5670, bill3=35835, bill4=20940, bill5=19146, bill6=19131, payv1=2000, payv2=36681, payv3=10000, payv4=9000, payv5=689, payv6=679, defaultPaymentNextMonth=0)
PaymentData(id=34, limitBalance=500000, sex=2, education=2, marriage=1, age=54, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=10929, bill2=4152, bill3=22722, bill4=7521, bill5=71439, bill6=8981, payv1=4152, payv2=22827, payv3=7521, payv4=71439, payv5=981, payv6=51582, defaultPaymentNextMonth=0)
PaymentData(id=37, limitBalance=280000, sex=1, education=2, marriage=1, age=40, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=186503, bill2=181328, bill3=180422, bill4=170410, bill5=173901, bill6=177413, payv1=8026, payv2=8060, payv3=6300, payv4=6400, payv5=6400, payv6=6737, defaultPaymentNextMonth=0)
PaymentData(id=41, limitBalance=360000, sex=1, education=1, marriage=2, age=33, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=218668, bill2=221296, bill3=206895, bill4=628699, bill5=195969, bill6=179224, payv1=10000, payv2=7000, payv3=6000, payv4=188840, payv5=28000, payv6=4000, defaultPaymentNextMonth=0)
PaymentData(id=42, limitBalance=70000, sex=2, education=1, marriage=2, age=25, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=67521, bill2=66999, bill3=63949, bill4=63699, bill5=64718, bill6=65970, payv1=3000, payv2=4500, payv3=4042, payv4=2500, payv5=2800, payv6=2500, defaultPaymentNextMonth=0)
PaymentData(id=43, limitBalance=10000, sex=1, education=2, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=1877, bill2=3184, bill3=6003, bill4=3576, bill5=3670, bill6=4451, payv1=1500, payv2=2927, payv3=1000, payv4=300, payv5=1000, payv6=500, defaultPaymentNextMonth=0)
PaymentData(id=44, limitBalance=140000, sex=2, education=2, marriage=1, age=37, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=59504, bill2=61544, bill3=62925, bill4=64280, bill5=67079, bill6=69802, payv1=3000, payv2=3000, payv3=3000, payv4=4000, payv5=4000, payv6=3000, defaultPaymentNextMonth=0)
PaymentData(id=49, limitBalance=380000, sex=1, education=2, marriage=2, age=32, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=22401, bill2=21540, bill3=15134, bill4=32018, bill5=11849, bill6=11873, payv1=21540, payv2=15138, payv3=24677, payv4=11851, payv5=11875, payv6=8251, defaultPaymentNextMonth=0)
PaymentData(id=50, limitBalance=20000, sex=1, education=1, marriage=2, age=24, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=17447, bill2=18479, bill3=19476, bill4=19865, bill5=20480, bill6=20063, payv1=1318, payv2=1315, payv3=704, payv4=928, payv5=912, payv6=1069, defaultPaymentNextMonth=0)
PaymentData(id=52, limitBalance=100000, sex=2, education=3, marriage=3, age=43, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=61559, bill2=51163, bill3=43824, bill4=39619, bill5=35762, bill6=33258, payv1=2000, payv2=1606, payv3=1500, payv4=2000, payv5=1500, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=54, limitBalance=180000, sex=2, education=1, marriage=2, age=25, pay0=1, pay2=2, pay3=0, pay4=0, pay5=0, pay6=0, bill1=41402, bill2=41742, bill3=42758, bill4=43510, bill5=44420, bill6=45319, payv1=1300, payv2=2010, payv3=1762, payv4=1762, payv5=1790, payv6=1622, defaultPaymentNextMonth=0)
PaymentData(id=55, limitBalance=150000, sex=2, education=1, marriage=2, age=29, pay0=2, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=46224, bill2=34993, bill3=31434, bill4=26518, bill5=21042, bill6=16540, payv1=1600, payv2=1718, payv3=1049, payv4=1500, payv5=2000, payv6=5000, defaultPaymentNextMonth=0)
PaymentData(id=58, limitBalance=180000, sex=2, education=2, marriage=1, age=34, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=175886, bill2=173440, bill3=172308, bill4=168608, bill5=132202, bill6=129918, payv1=8083, payv2=7296, payv3=5253, payv4=4814, payv5=4816, payv6=3800, defaultPaymentNextMonth=0)
PaymentData(id=60, limitBalance=400000, sex=2, education=2, marriage=1, age=29, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=400134, bill2=398857, bill3=404205, bill4=360199, bill5=356656, bill6=364089, payv1=17000, payv2=15029, payv3=30000, payv4=12000, payv5=12000, payv6=23000, defaultPaymentNextMonth=0)
PaymentData(id=61, limitBalance=500000, sex=2, education=3, marriage=1, age=28, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=22848, bill2=23638, bill3=18878, bill4=14937, bill5=13827, bill6=15571, payv1=1516, payv2=1300, payv3=1000, payv4=1000, payv5=2000, payv6=2000, defaultPaymentNextMonth=1)
PaymentData(id=68, limitBalance=210000, sex=2, education=1, marriage=2, age=30, pay0=2, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=300, bill2=300, bill3=1159, bill4=2280, bill5=300, bill6=4250, payv1=300, payv2=1159, payv3=2280, payv4=300, payv5=4250, payv6=909, defaultPaymentNextMonth=0)
PaymentData(id=75, limitBalance=340000, sex=1, education=1, marriage=2, age=32, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=3048, bill2=5550, bill3=23337, bill4=4291, bill5=80153, bill6=25820, payv1=5713, payv2=23453, payv3=4314, payv4=80552, payv5=25949, payv6=2016, defaultPaymentNextMonth=0)
PaymentData(id=77, limitBalance=50000, sex=1, education=3, marriage=2, age=25, pay0=-1, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=42838, bill2=37225, bill3=36087, bill4=9636, bill5=9590, bill6=10030, payv1=1759, payv2=1779, payv3=320, payv4=500, payv5=1000, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=78, limitBalance=300000, sex=2, education=1, marriage=1, age=45, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=291, bill2=291, bill3=291, bill4=291, bill5=291, bill6=291, payv1=291, payv2=291, payv3=291, payv4=291, payv5=291, payv6=291, defaultPaymentNextMonth=0)
PaymentData(id=81, limitBalance=470000, sex=2, education=3, marriage=3, age=33, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=165254, bill2=157784, bill3=162702, bill4=69923, bill5=29271, bill6=29889, payv1=6400, payv2=7566, payv3=3000, payv4=960, payv5=1000, payv6=3000, defaultPaymentNextMonth=0)
PaymentData(id=82, limitBalance=360000, sex=2, education=1, marriage=2, age=26, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=23411, bill2=27796, bill3=30400, bill4=33100, bill5=180000, bill6=196, payv1=4796, payv2=3400, payv3=3100, payv4=146900, payv5=196, payv6=2963, defaultPaymentNextMonth=0)
PaymentData(id=84, limitBalance=400000, sex=2, education=2, marriage=1, age=44, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=0, bill1=131595, bill2=139060, bill3=126819, bill4=104430, bill5=104990, bill6=94058, payv1=10700, payv2=3, payv3=3050, payv4=3000, payv5=3200, payv6=2800, defaultPaymentNextMonth=0)
PaymentData(id=85, limitBalance=50000, sex=2, education=3, marriage=2, age=49, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=48909, bill2=47863, bill3=21489, bill4=20414, bill5=19342, bill6=19482, payv1=1676, payv2=1302, payv3=700, payv4=699, payv5=849, payv6=826, defaultPaymentNextMonth=0)
PaymentData(id=86, limitBalance=160000, sex=1, education=2, marriage=2, age=33, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=130028, bill2=107808, bill3=71934, bill4=118418, bill5=118407, bill6=120418, payv1=4400, payv2=3547, payv3=80000, payv4=4500, payv5=4800, payv6=4500, defaultPaymentNextMonth=0)
PaymentData(id=89, limitBalance=130000, sex=2, education=1, marriage=1, age=35, pay0=0, pay2=0, pay3=0, pay4=-1, pay5=-1, pay6=-1, bill1=81313, bill2=117866, bill3=17740, bill4=1330, bill5=7095, bill6=1190, payv1=40000, payv2=5000, payv3=1330, payv4=7095, payv5=1190, payv6=2090, defaultPaymentNextMonth=0)
PaymentData(id=91, limitBalance=200000, sex=1, education=1, marriage=1, age=53, pay0=2, pay2=2, pay3=2, pay4=2, pay5=2, pay6=2, bill1=138180, bill2=140774, bill3=142460, bill4=144098, bill5=147124, bill6=149531, payv1=6300, payv2=5500, payv3=5500, payv4=5500, payv5=5000, payv6=5000, defaultPaymentNextMonth=1)
PaymentData(id=95, limitBalance=60000, sex=2, education=2, marriage=2, age=23, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=45648, bill2=46850, bill3=47214, bill4=19595, bill5=19209, bill6=19323, payv1=1937, payv2=1301, payv3=682, payv4=690, payv5=816, payv6=835, defaultPaymentNextMonth=0)
PaymentData(id=96, limitBalance=90000, sex=1, education=2, marriage=2, age=35, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=83725, bill2=85996, bill3=87653, bill4=35565, bill5=30942, bill6=30835, payv1=3621, payv2=3597, payv3=1179, payv4=1112, payv5=1104, payv6=1143, defaultPaymentNextMonth=0)
PaymentData(id=98, limitBalance=150000, sex=1, education=1, marriage=2, age=27, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=86009, bill2=86108, bill3=89006, bill4=89775, bill5=87725, bill6=40788, payv1=4031, payv2=10006, payv3=3266, payv4=4040, payv5=1698, payv6=800, defaultPaymentNextMonth=0)
PaymentData(id=99, limitBalance=50000, sex=2, education=3, marriage=1, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=18722, bill2=18160, bill3=16997, bill4=13150, bill5=8866, bill6=7899, payv1=1411, payv2=1194, payv3=379, payv4=281, payv5=321, payv6=197, defaultPaymentNextMonth=0)
PaymentData(id=104, limitBalance=50000, sex=2, education=3, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=44698, bill2=42254, bill3=38347, bill4=32496, bill5=23477, bill6=24094, payv1=1767, payv2=1362, payv3=1002, payv4=840, payv5=995, payv6=904, defaultPaymentNextMonth=1)
PaymentData(id=107, limitBalance=80000, sex=2, education=2, marriage=1, age=36, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=6108, bill2=2861, bill3=3277, bill4=3319, bill5=1150, bill6=1150, payv1=2861, payv2=3279, payv3=3319, payv4=1150, payv5=1150, payv6=1035, defaultPaymentNextMonth=0)
PaymentData(id=108, limitBalance=350000, sex=1, education=1, marriage=2, age=52, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=713, bill2=2272, bill3=722, bill4=867, bill5=1150, bill6=5263, payv1=2272, payv2=722, payv3=867, payv4=1150, payv5=5263, payv6=5011, defaultPaymentNextMonth=0)
PaymentData(id=112, limitBalance=50000, sex=1, education=3, marriage=1, age=47, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=0, bill1=13244, bill2=14722, bill3=15181, bill4=15928, bill5=16671, bill6=17393, payv1=2000, payv2=1000, payv3=1000, payv4=1000, payv5=1000, payv6=1000, defaultPaymentNextMonth=0)
PaymentData(id=114, limitBalance=100000, sex=2, education=1, marriage=2, age=24, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=52128, bill2=52692, bill3=54477, bill4=56076, bill5=60100, bill6=59713, payv1=2000, payv2=2677, payv3=3076, payv4=5080, payv5=3000, payv6=2033, defaultPaymentNextMonth=0)
PaymentData(id=115, limitBalance=50000, sex=1, education=2, marriage=2, age=41, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=19015, bill2=19294, bill3=20259, bill4=20274, bill5=20311, bill6=19957, payv1=1340, payv2=1305, payv3=700, payv4=718, payv5=724, payv6=684, defaultPaymentNextMonth=0)
PaymentData(id=117, limitBalance=240000, sex=1, education=1, marriage=2, age=28, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=326, bill2=326, bill3=326, bill4=5676, bill5=476, bill6=326, payv1=326, payv2=326, payv3=5676, payv4=476, payv5=326, payv6=526, defaultPaymentNextMonth=0)
PaymentData(id=118, limitBalance=80000, sex=1, education=2, marriage=2, age=26, pay0=2, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=14029, bill2=15493, bill3=16630, bill4=17055, bill5=17629, bill6=18186, payv1=2000, payv2=1700, payv3=1000, payv4=1000, payv5=1000, payv6=1000, defaultPaymentNextMonth=1)
PaymentData(id=119, limitBalance=400000, sex=1, education=2, marriage=1, age=34, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=19660, bill2=9666, bill3=11867, bill4=7839, bill5=14837, bill6=7959, payv1=9677, payv2=11867, payv3=7839, payv4=14837, payv5=7959, payv6=5712, defaultPaymentNextMonth=0)
PaymentData(id=120, limitBalance=240000, sex=2, education=2, marriage=2, age=38, pay0=0, pay2=0, pay3=0, pay4=0, pay5=-1, pay6=-1, bill1=50254, bill2=51445, bill3=53015, bill4=52479, bill5=1307, bill6=1203, payv1=2000, payv2=3000, payv3=3000, payv4=1307, payv5=1203, payv6=563, defaultPaymentNextMonth=0)
PaymentData(id=124, limitBalance=310000, sex=2, education=2, marriage=1, age=35, pay0=2, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=304991, bill2=311243, bill3=306314, bill4=258610, bill5=246491, bill6=198889, payv1=13019, payv2=11128, payv3=8407, payv4=8599, payv5=6833, payv6=5987, defaultPaymentNextMonth=1)
PaymentData(id=127, limitBalance=200000, sex=1, education=3, marriage=2, age=52, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=110151, bill2=99530, bill3=98951, bill4=100914, bill5=103146, bill6=104993, payv1=3568, payv2=3585, payv3=3602, payv4=3848, payv5=3669, payv6=3784, defaultPaymentNextMonth=0)
PaymentData(id=128, limitBalance=180000, sex=1, education=1, marriage=1, age=36, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=163736, bill2=116422, bill3=99278, bill4=95766, bill5=97753, bill6=95927, payv1=4655, payv2=2690, payv3=2067, payv4=2142, payv5=2217, payv6=1000, defaultPaymentNextMonth=1)
PaymentData(id=129, limitBalance=50000, sex=1, education=2, marriage=1, age=51, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=3347, bill2=3899, bill3=4503, bill4=5347, bill5=6375, bill6=7077, payv1=1000, payv2=1066, payv3=1300, payv4=1500, payv5=1200, payv6=134, defaultPaymentNextMonth=1)
PaymentData(id=130, limitBalance=60000, sex=1, education=3, marriage=1, age=55, pay0=3, pay2=2, pay3=2, pay4=0, pay5=0, pay6=0, bill1=60521, bill2=61450, bill3=57244, bill4=28853, bill5=29510, bill6=26547, payv1=2504, payv2=7, payv3=1200, payv4=1200, payv5=1100, payv6=1500, defaultPaymentNextMonth=0)
PaymentData(id=133, limitBalance=420000, sex=1, education=2, marriage=1, age=34, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=253454, bill2=247743, bill3=229049, bill4=220951, bill5=210606, bill6=188108, payv1=9744, payv2=9553, payv3=7603, payv4=7830, payv5=7253, payv6=11326, defaultPaymentNextMonth=0)
PaymentData(id=134, limitBalance=330000, sex=1, education=3, marriage=1, age=46, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=227389, bill2=228719, bill3=229644, bill4=227587, bill5=227775, bill6=228203, payv1=8210, payv2=8095, payv3=8025, payv4=8175, payv5=8391, payv6=8200, defaultPaymentNextMonth=0)
PaymentData(id=137, limitBalance=150000, sex=1, education=1, marriage=2, age=27, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=17444, bill2=19342, bill3=22000, bill4=24614, bill5=27200, bill6=30229, payv1=2500, payv2=3000, payv3=3000, payv4=3000, payv5=3500, payv6=5000, defaultPaymentNextMonth=0)
PaymentData(id=138, limitBalance=210000, sex=2, education=2, marriage=1, age=33, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=7166, bill2=7997, bill3=8792, bill4=9189, bill5=4404, bill6=5708, payv1=1500, payv2=1500, payv3=1000, payv4=500, payv5=2000, payv6=546, defaultPaymentNextMonth=0)
PaymentData(id=140, limitBalance=50000, sex=1, education=1, marriage=2, age=24, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=50801, bill2=50143, bill3=49586, bill4=19430, bill5=19375, bill6=18995, payv1=2360, payv2=1700, payv3=1000, payv4=900, payv5=870, payv6=2130, defaultPaymentNextMonth=0)
PaymentData(id=143, limitBalance=50000, sex=1, education=2, marriage=2, age=23, pay0=1, pay2=2, pay3=2, pay4=2, pay5=0, pay6=0, bill1=10131, bill2=10833, bill3=20583, bill4=19996, bill5=19879, bill6=18065, payv1=1000, payv2=10000, payv3=400, payv4=700, payv5=800, payv6=600, defaultPaymentNextMonth=0)
PaymentData(id=144, limitBalance=170000, sex=1, education=2, marriage=2, age=29, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=12159, bill2=10000, bill3=10000, bill4=10000, bill5=9983, bill6=15846, payv1=10000, payv2=10000, payv3=10000, payv4=9983, payv5=15863, payv6=10000, defaultPaymentNextMonth=0)
PaymentData(id=145, limitBalance=20000, sex=1, education=1, marriage=2, age=29, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=0, pay6=-1, bill1=1199, bill2=15586, bill3=344, bill4=2340, bill5=6702, bill6=339, payv1=15586, payv2=344, payv3=2340, payv4=4702, payv5=339, payv6=330, defaultPaymentNextMonth=0)
PaymentData(id=148, limitBalance=200000, sex=1, education=1, marriage=2, age=34, pay0=1, pay2=2, pay3=0, pay4=0, pay5=0, pay6=0, bill1=197236, bill2=176192, bill3=93069, bill4=135668, bill5=132233, bill6=59875, payv1=8000, payv2=5000, payv3=55500, payv4=5000, payv5=5000, payv6=8500, defaultPaymentNextMonth=0)
PaymentData(id=152, limitBalance=80000, sex=1, education=1, marriage=2, age=25, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=42444, bill2=55744, bill3=43476, bill4=41087, bill5=41951, bill6=31826, payv1=30000, payv2=3000, payv3=6000, payv4=8000, payv5=2000, payv6=14000, defaultPaymentNextMonth=0)
PaymentData(id=154, limitBalance=280000, sex=2, education=2, marriage=1, age=56, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=208775, bill2=182350, bill3=132257, bill4=101783, bill5=177145, bill6=169311, payv1=8042, payv2=6700, payv3=5137, payv4=100000, payv5=7000, payv6=6321, defaultPaymentNextMonth=0)
PaymentData(id=155, limitBalance=30000, sex=2, education=3, marriage=2, age=26, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=9014, bill2=10406, bill3=11427, bill4=11935, bill5=13084, bill6=14206, payv1=1700, payv2=1500, payv3=1000, payv4=1500, payv5=1500, payv6=1500, defaultPaymentNextMonth=0)
PaymentData(id=156, limitBalance=140000, sex=1, education=1, marriage=1, age=34, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=23944, bill2=28049, bill3=32073, bill4=43129, bill5=47086, bill6=48699, payv1=5000, payv2=5000, payv3=11885, payv4=5000, payv5=3000, payv6=5504, defaultPaymentNextMonth=0)
PaymentData(id=157, limitBalance=200000, sex=2, education=1, marriage=2, age=37, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=105420, bill2=102870, bill3=89643, bill4=90938, bill5=92505, bill6=94031, payv1=4000, payv2=3250, payv3=3250, payv4=3500, payv5=3560, payv6=5000, defaultPaymentNextMonth=0)
PaymentData(id=158, limitBalance=200000, sex=2, education=3, marriage=2, age=30, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=196031, bill2=196143, bill3=189524, bill4=167163, bill5=146975, bill6=122324, payv1=7300, payv2=7108, payv3=7680, payv4=6200, payv5=5000, payv6=4500, defaultPaymentNextMonth=0)
PaymentData(id=159, limitBalance=210000, sex=1, education=3, marriage=1, age=45, pay0=2, pay2=3, pay3=4, pay4=4, pay5=5, pay6=6, bill1=115785, bill2=122904, bill3=129847, bill4=137277, bill5=145533, bill6=154105, payv1=10478, payv2=10478, payv3=11078, payv4=11078, payv5=11678, payv6=10478, defaultPaymentNextMonth=1)
PaymentData(id=165, limitBalance=60000, sex=2, education=2, marriage=1, age=46, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=21148, bill2=23803, bill3=24908, bill4=26034, bill5=26655, bill6=27756, payv1=3000, payv2=1500, payv3=1500, payv4=1000, payv5=1500, payv6=1500, defaultPaymentNextMonth=0)
PaymentData(id=166, limitBalance=110000, sex=2, education=1, marriage=2, age=27, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=101640, bill2=104795, bill3=104855, bill4=74737, bill5=76058, bill6=77254, payv1=5500, payv2=3900, payv3=3000, payv4=2900, payv5=3000, payv6=2800, defaultPaymentNextMonth=0)
PaymentData(id=167, limitBalance=370000, sex=1, education=1, marriage=2, age=50, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=6093, bill2=15130, bill3=8204, bill4=15398, bill5=4792, bill6=13453, payv1=15383, payv2=8204, payv3=15413, payv4=4792, payv5=13453, payv6=4699, defaultPaymentNextMonth=0)
PaymentData(id=170, limitBalance=50000, sex=2, education=2, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=28040, bill2=29092, bill3=29366, bill4=27737, bill5=28318, bill6=28806, payv1=1510, payv2=1442, payv3=982, payv4=1017, payv5=1277, payv6=567, defaultPaymentNextMonth=0)
