PaymentData(id=1, limitBalance=20000, sex=2, education=2, marriage=1, age=24, pay0=2, pay2=2, pay3=-1, pay4=-1, pay5=-2, pay6=-2, bill1=3913, bill2=3102, bill3=689, bill4=0, bill5=0, bill6=0, payv1=0, payv2=689, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)PaymentData(id=2, limitBalance=120000, sex=2, education=2, marriage=2, age=26, pay0=-1, pay2=2, pay3=0, pay4=0, pay5=0, pay6=2, bill1=2682, bill2=1725, bill3=2682, bill4=3272, bill5=3455, bill6=3261, payv1=0, payv2=1000, payv3=1000, payv4=1000, payv5=0, payv6=2000, defaultPaymentNextMonth=1)
PaymentData(id=8, limitBalance=100000, sex=2, education=2, marriage=2, age=23, pay0=0, pay2=-1, pay3=-1, pay4=0, pay5=0, pay6=-1, bill1=11876, bill2=380, bill3=601, bill4=221, bill5=-159, bill6=567, payv1=380, payv2=601, payv3=0, payv4=581, payv5=1687, payv6=1542, defaultPaymentNextMonth=0)
PaymentData(id=23, limitBalance=70000, sex=2, education=2, marriage=2, age=26, pay0=2, pay2=0, pay3=0, pay4=2, pay5=2, pay6=2, bill1=41087, bill2=42445, bill3=45020, bill4=44006, bill5=46905, bill6=46012, payv1=2007, payv2=3582, payv3=0, payv4=3601, payv5=0, payv6=1820, defaultPaymentNextMonth=1)
PaymentData(id=24, limitBalance=450000, sex=2, education=1, marriage=1, age=40, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=5512, bill2=19420, bill3=1473, bill4=560, bill5=0, bill6=0, payv1=19428, payv2=1473, payv3=560, payv4=0, payv5=0, payv6=1128, defaultPaymentNextMonth=1)
PaymentData(id=25, limitBalance=90000, sex=1, education=1, marriage=2, age=23, pay0=0, pay2=0, pay3=0, pay4=-1, pay5=0, pay6=0, bill1=4744, bill2=7070, bill3=0, bill4=5398, bill5=6360, bill6=8292, payv1=5757, payv2=0, payv3=5398, payv4=1200, payv5=2045, payv6=2000, defaultPaymentNextMonth=0)
PaymentData(id=27, limitBalance=60000, sex=1, education=1, marriage=2, age=27, pay0=1, pay2=-2, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=-109, bill2=-425, bill3=259, bill4=-57, bill5=127, bill6=-189, payv1=0, payv2=1000, payv3=0, payv4=500, payv5=0, payv6=1000, defaultPaymentNextMonth=1)
PaymentData(id=29, limitBalance=50000, sex=2, education=3, marriage=1, age=47, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=650, bill2=3415, bill3=3416, bill4=2040, bill5=30430, bill6=257, payv1=3415, payv2=3421, payv3=2044, payv4=30430, payv5=257, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=30, limitBalance=50000, sex=1, education=1, marriage=2, age=26, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=15329, bill2=16575, bill3=17496, bill4=17907, bill5=18375, bill6=11400, payv1=1500, payv2=1500, payv3=1000, payv4=1000, payv5=1600, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=31, limitBalance=230000, sex=2, education=1, marriage=2, age=27, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=16646, bill2=17265, bill3=13266, bill4=15339, bill5=14307, bill6=36923, payv1=17270, payv2=13281, payv3=15339, payv4=14307, payv5=37292, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=35, limitBalance=500000, sex=1, education=1, marriage=1, age=58, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=13709, bill2=5006, bill3=31130, bill4=3180, bill5=0, bill6=5293, payv1=5006, payv2=31178, payv3=3180, payv4=0, payv5=5293, payv6=768, defaultPaymentNextMonth=0)
PaymentData(id=36, limitBalance=160000, sex=1, education=1, marriage=2, age=30, pay0=-1, pay2=-1, pay3=-2, pay4=-2, pay5=-2, pay6=-1, bill1=30265, bill2=-131, bill3=-527, bill4=-923, bill5=-1488, bill6=-1884, payv1=131, payv2=396, payv3=396, payv4=565, payv5=792, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=38, limitBalance=60000, sex=2, education=2, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=15054, bill2=9806, bill3=11068, bill4=6026, bill5=-28335, bill6=18660, payv1=1500, payv2=1518, payv3=2043, payv4=0, payv5=47671, payv6=617, defaultPaymentNextMonth=0)
PaymentData(id=39, limitBalance=50000, sex=1, education=1, marriage=2, age=25, pay0=1, pay2=-1, pay3=-1, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=780, bill3=0, bill4=0, bill5=0, bill6=0, payv1=780, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=40, limitBalance=280000, sex=1, education=1, marriage=2, age=31, pay0=-1, pay2=-1, pay3=2, pay4=-1, pay5=0, pay6=-1, bill1=498, bill2=9075, bill3=4641, bill4=9976, bill5=17976, bill6=9477, payv1=9075, payv2=0, payv3=9976, payv4=8000, payv5=9525, payv6=781, defaultPaymentNextMonth=0)
PaymentData(id=45, limitBalance=40000, sex=2, education=1, marriage=2, age=30, pay0=0, pay2=0, pay3=0, pay4=2, pay5=0, pay6=0, bill1=18927, bill2=21295, bill3=25921, bill4=25209, bill5=26636, bill6=29197, payv1=3000, payv2=5000, payv3=0, payv4=2000, payv5=3000, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=46, limitBalance=210000, sex=1, education=1, marriage=2, age=29, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=47, limitBalance=20000, sex=2, education=1, marriage=2, age=22, pay0=0, pay2=0, pay3=2, pay4=-1, pay5=0, pay6=0, bill1=14028, bill2=16484, bill3=15800, bill4=16341, bill5=16675, bill6=0, payv1=3000, payv2=0, payv3=16741, payv4=334, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=48, limitBalance=150000, sex=2, education=5, marriage=2, age=46, pay0=0, pay2=0, pay3=-1, pay4=0, pay5=0, pay6=-2, bill1=4463, bill2=3034, bill3=1170, bill4=1170, bill5=0, bill6=0, payv1=1013, payv2=1170, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=51, limitBalance=70000, sex=1, education=3, marriage=2, age=42, pay0=1, pay2=2, pay3=2, pay4=2, pay5=2, pay6=0, bill1=37042, bill2=36171, bill3=38355, bill4=39423, bill5=38659, bill6=39362, payv1=0, payv2=3100, payv3=2000, payv4=0, payv5=1500, payv6=1500, defaultPaymentNextMonth=1)
PaymentData(id=53, limitBalance=310000, sex=2, education=2, marriage=1, age=49, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=13465, bill2=7867, bill3=7600, bill4=11185, bill5=3544, bill6=464, payv1=7875, payv2=7600, payv3=11185, payv4=3544, payv5=464, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=56, limitBalance=500000, sex=2, education=1, marriage=1, age=45, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=1905, bill2=3640, bill3=162, bill4=0, bill5=151, bill6=2530, payv1=3640, payv2=162, payv3=0, payv4=151, payv5=2530, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=57, limitBalance=180000, sex=2, education=3, marriage=1, age=34, pay0=0, pay2=0, pay3=0, pay4=-1, pay5=-1, pay6=-1, bill1=16386, bill2=15793, bill3=8441, bill4=7142, bill5=-679, bill6=8321, payv1=8500, payv2=1500, payv3=7500, payv4=679, payv5=9000, payv6=2000, defaultPaymentNextMonth=0)
PaymentData(id=59, limitBalance=200000, sex=2, education=1, marriage=2, age=34, pay0=-1, pay2=3, pay3=2, pay4=2, pay5=2, pay6=2, bill1=1587, bill2=1098, bill3=782, bill4=1166, bill5=700, bill6=1414, payv1=0, payv2=0, payv3=700, payv4=0, payv5=1200, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=62, limitBalance=70000, sex=1, education=2, marriage=1, age=39, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=70800, bill2=72060, bill3=69938, bill4=16518, bill5=14096, bill6=830, payv1=4025, payv2=2095, payv3=1000, payv4=2000, payv5=3000, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=63, limitBalance=50000, sex=1, education=1, marriage=2, age=29, pay0=2, pay2=2, pay3=2, pay4=2, pay5=2, pay6=2, bill1=24987, bill2=24300, bill3=26591, bill4=25865, bill5=27667, bill6=28264, payv1=0, payv2=2700, payv3=0, payv4=2225, payv5=1200, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=64, limitBalance=50000, sex=2, education=2, marriage=1, age=46, pay0=0, pay2=0, pay3=0, pay4=-2, pay5=-2, pay6=-2, bill1=28718, bill2=29166, bill3=0, bill4=0, bill5=0, bill6=0, payv1=1000, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=65, limitBalance=130000, sex=2, education=2, marriage=1, age=51, pay0=-1, pay2=-1, pay3=-2, pay4=-2, pay5=-1, pay6=-1, bill1=99, bill2=0, bill3=0, bill4=0, bill5=2353, bill6=0, payv1=0, payv2=0, payv3=0, payv4=2353, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=66, limitBalance=200000, sex=1, education=1, marriage=1, age=57, pay0=-2, pay2=-2, pay3=-2, pay4=-1, pay5=2, pay6=2, bill1=152519, bill2=148751, bill3=144076, bill4=8174, bill5=8198, bill6=7918, payv1=0, payv2=0, payv3=8222, payv4=300, payv5=0, payv6=1000, defaultPaymentNextMonth=1)
PaymentData(id=67, limitBalance=10000, sex=1, education=2, marriage=1, age=56, pay0=2, pay2=2, pay3=2, pay4=0, pay5=0, pay6=0, bill1=2097, bill2=4193, bill3=3978, bill4=4062, bill5=4196, bill6=4326, payv1=2300, payv2=0, payv3=150, payv4=200, payv5=200, payv6=160, defaultPaymentNextMonth=1)
PaymentData(id=69, limitBalance=130000, sex=2, education=3, marriage=2, age=29, pay0=1, pay2=-2, pay3=-2, pay4=-1, pay5=2, pay6=-1, bill1=-190, bill2=-9850, bill3=-9850, bill4=10311, bill5=10161, bill6=7319, payv1=0, payv2=0, payv3=20161, payv4=0, payv5=7319, payv6=13899, defaultPaymentNextMonth=0)
PaymentData(id=70, limitBalance=20000, sex=1, education=5, marriage=2, age=22, pay0=2, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=18565, bill2=17204, bill3=17285, bill4=18085, bill5=11205, bill6=5982, payv1=0, payv2=1200, payv3=1000, payv4=500, payv5=1000, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=71, limitBalance=80000, sex=1, education=1, marriage=2, age=31, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=780, bill2=0, bill3=390, bill4=390, bill5=390, bill6=390, payv1=0, payv2=390, payv3=390, payv4=390, payv5=390, payv6=390, defaultPaymentNextMonth=0)
PaymentData(id=72, limitBalance=320000, sex=1, education=2, marriage=2, age=29, pay0=2, pay2=2, pay3=2, pay4=2, pay5=2, pay6=2, bill1=58267, bill2=59246, bill3=60184, bill4=58622, bill5=62307, bill6=63526, payv1=2500, payv2=2500, payv3=0, payv4=4800, payv5=2400, payv6=1600, defaultPaymentNextMonth=1)
PaymentData(id=73, limitBalance=200000, sex=2, education=2, marriage=1, age=32, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=2, pay6=-1, bill1=9076, bill2=5787, bill3=-684, bill4=5247, bill5=3848, bill6=3151, payv1=5818, payv2=15, payv3=9102, payv4=17, payv5=3165, payv6=1395, defaultPaymentNextMonth=0)
PaymentData(id=74, limitBalance=290000, sex=2, education=1, marriage=2, age=37, pay0=1, pay2=-2, pay3=-1, pay4=-1, pay5=-1, pay6=-1, bill1=0, bill2=0, bill3=3155, bill4=0, bill5=2359, bill6=0, payv1=0, payv2=3155, payv3=0, payv4=2359, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=76, limitBalance=20000, sex=1, education=2, marriage=2, age=24, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=0, bill1=14619, bill2=17216, bill3=16642, bill4=16976, bill5=17332, bill6=18543, payv1=2850, payv2=0, payv3=610, payv4=630, payv5=1500, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=79, limitBalance=30000, sex=2, education=2, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=28387, bill2=29612, bill3=30326, bill4=28004, bill5=26446, bill6=6411, payv1=1686, payv2=1400, payv3=560, payv4=3000, payv5=1765, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=80, limitBalance=240000, sex=2, education=2, marriage=2, age=44, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=83, limitBalance=60000, sex=1, education=3, marriage=2, age=30, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=26324, bill2=27471, bill3=28108, bill4=21993, bill5=19899, bill6=19771, payv1=1576, payv2=1213, payv3=648, payv4=768, payv5=1140, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=87, limitBalance=360000, sex=2, education=1, marriage=1, age=45, pay0=-1, pay2=-1, pay3=2, pay4=0, pay5=-1, pay6=-1, bill1=390, bill2=1170, bill3=780, bill4=390, bill5=390, bill6=390, payv1=1170, payv2=0, payv3=0, payv4=390, payv5=390, payv6=390, defaultPaymentNextMonth=1)
PaymentData(id=88, limitBalance=160000, sex=2, education=2, marriage=2, age=32, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=3826, bill2=4751, bill3=6604, bill4=8604, bill5=7072, bill6=766, payv1=1147, payv2=2000, payv3=2000, payv4=0, payv5=766, payv6=2303, defaultPaymentNextMonth=0)
PaymentData(id=90, limitBalance=20000, sex=1, education=3, marriage=2, age=44, pay0=2, pay2=2, pay3=0, pay4=0, pay5=0, pay6=2, bill1=8583, bill2=8303, bill3=9651, bill4=10488, bill5=12314, bill6=11970, payv1=0, payv2=1651, payv3=1000, payv4=2000, payv5=0, payv6=1500, defaultPaymentNextMonth=0)
PaymentData(id=92, limitBalance=280000, sex=2, education=1, marriage=2, age=39, pay0=-1, pay2=-1, pay3=-1, pay4=0, pay5=0, pay6=-2, bill1=7524, bill2=0, bill3=3968, bill4=3868, bill5=0, bill6=0, payv1=0, payv2=3968, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=93, limitBalance=100000, sex=2, education=1, marriage=2, age=27, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=-2000, bill2=5555, bill3=0, bill4=0, bill5=0, bill6=0, payv1=7555, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=94, limitBalance=160000, sex=2, education=2, marriage=1, age=37, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=-2, bill1=880, bill2=1602, bill3=840, bill4=840, bill5=0, bill6=0, payv1=1602, payv2=840, payv3=840, payv4=0, payv5=0, payv6=7736, defaultPaymentNextMonth=0)
PaymentData(id=97, limitBalance=360000, sex=1, education=1, marriage=1, age=43, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-1, pay6=0, bill1=3967, bill2=8322, bill3=3394, bill4=6451, bill5=26370, bill6=9956, payv1=8339, payv2=3394, payv3=12902, payv4=27000, payv5=0, payv6=68978, defaultPaymentNextMonth=0)
PaymentData(id=100, limitBalance=20000, sex=1, education=2, marriage=1, age=38, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=-1, bill1=17973, bill2=19367, bill3=19559, bill4=18240, bill5=17928, bill6=150, payv1=1699, payv2=1460, payv3=626, payv4=1750, payv5=150, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=101, limitBalance=140000, sex=1, education=1, marriage=2, age=32, pay0=-2, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=672, bill2=10212, bill3=850, bill4=415, bill5=100, bill6=1430, payv1=10212, payv2=850, payv3=415, payv4=100, payv5=1430, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=102, limitBalance=380000, sex=2, education=1, marriage=2, age=30, pay0=-2, pay2=-2, pay3=-1, pay4=0, pay5=0, pay6=0, bill1=-81, bill2=-303, bill3=32475, bill4=32891, bill5=33564, bill6=34056, payv1=223, payv2=33178, payv3=1171, payv4=1197, payv5=1250, payv6=5000, defaultPaymentNextMonth=0)
PaymentData(id=103, limitBalance=480000, sex=1, education=1, marriage=1, age=63, pay0=0, pay2=0, pay3=0, pay4=2, pay5=2, pay6=0, bill1=422069, bill2=431342, bill3=479432, bill4=487066, bill5=471145, bill6=469961, payv1=16078, payv2=55693, payv3=17000, payv4=0, payv5=18000, payv6=24200, defaultPaymentNextMonth=0)
PaymentData(id=105, limitBalance=60000, sex=2, education=2, marriage=2, age=26, pay0=2, pay2=2, pay3=2, pay4=2, pay5=2, pay6=0, bill1=56685, bill2=55208, bill3=59175, bill4=60218, bill5=55447, bill6=55305, payv1=0, payv2=5000, payv3=2511, payv4=6, payv5=3000, payv6=3000, defaultPaymentNextMonth=0)
PaymentData(id=106, limitBalance=70000, sex=2, education=2, marriage=2, age=24, pay0=-1, pay2=-1, pay3=-2, pay4=-2, pay5=-2, pay6=-1, bill1=5580, bill2=0, bill3=0, bill4=0, bill5=0, bill6=26529, payv1=0, payv2=0, payv3=0, payv4=0, payv5=26529, payv6=2000, defaultPaymentNextMonth=0)
PaymentData(id=109, limitBalance=130000, sex=1, education=2, marriage=2, age=38, pay0=0, pay2=0, pay3=0, pay4=-1, pay5=-1, pay6=-1, bill1=171438, bill2=178382, bill3=39940, bill4=120483, bill5=44127, bill6=126568, payv1=10908, payv2=0, payv3=133657, payv4=4566, payv5=133841, payv6=4796, defaultPaymentNextMonth=0)
PaymentData(id=110, limitBalance=360000, sex=1, education=2, marriage=1, age=35, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=-103, bill2=-103, bill3=-103, bill4=-103, bill5=-103, bill6=-103, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=111, limitBalance=330000, sex=2, education=1, marriage=1, age=31, pay0=0, pay2=0, pay3=2, pay4=0, pay5=0, pay6=0, bill1=105879, bill2=108431, bill3=105594, bill4=105896, bill5=106491, bill6=107289, payv1=9260, payv2=0, payv3=3593, payv4=4100, payv5=15794, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=113, limitBalance=280000, sex=1, education=2, marriage=1, age=41, pay0=2, pay2=2, pay3=2, pay4=2, pay5=2, pay6=3, bill1=135673, bill2=138532, bill3=134813, bill4=144401, bill5=152174, bill6=149415, payv1=6500, payv2=0, payv3=14254, payv4=14850, payv5=0, payv6=5000, defaultPaymentNextMonth=0)
PaymentData(id=116, limitBalance=30000, sex=1, education=1, marriage=2, age=24, pay0=-1, pay2=2, pay3=0, pay4=0, pay5=3, pay6=2, bill1=18199, bill2=17618, bill3=18631, bill4=21319, bill5=20692, bill6=21201, payv1=0, payv2=1312, payv3=3000, payv4=0, payv5=1000, payv6=1000, defaultPaymentNextMonth=1)
PaymentData(id=121, limitBalance=50000, sex=1, education=3, marriage=2, age=37, pay0=2, pay2=2, pay3=2, pay4=3, pay5=2, pay6=2, bill1=46004, bill2=45976, bill3=48953, bill4=48851, bill5=49318, bill6=51143, payv1=1000, payv2=4035, payv3=1000, payv4=1400, payv5=2800, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=122, limitBalance=450000, sex=1, education=1, marriage=1, age=40, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
PaymentData(id=123, limitBalance=110000, sex=2, education=1, marriage=1, age=48, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=125, limitBalance=20000, sex=1, education=1, marriage=2, age=27, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=19115, bill2=18962, bill3=19298, bill4=19378, bill5=19717, bill6=15630, payv1=1404, payv2=1130, payv3=600, payv4=861, payv5=313, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=126, limitBalance=20000, sex=1, education=2, marriage=2, age=23, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-2, pay6=-2, bill1=0, bill2=0, bill3=0, bill4=0, bill5=0, bill6=0, payv1=0, payv2=0, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=0)
PaymentData(id=131, limitBalance=30000, sex=2, education=1, marriage=2, age=23, pay0=1, pay2=-2, pay3=-2, pay4=-2, pay5=-1, pay6=-1, bill1=4000, bill2=5645, bill3=3508, bill4=-27, bill5=13744, bill6=5906, payv1=5645, payv2=3508, payv3=27, payv4=13771, payv5=5911, payv6=3024, defaultPaymentNextMonth=0)
PaymentData(id=132, limitBalance=240000, sex=1, education=1, marriage=2, age=41, pay0=1, pay2=-1, pay3=-1, pay4=0, pay5=0, pay6=-1, bill1=95, bill2=2622, bill3=3301, bill4=3164, bill5=360, bill6=1737, payv1=2622, payv2=3301, payv3=0, payv4=360, payv5=1737, payv6=924, defaultPaymentNextMonth=0)
PaymentData(id=135, limitBalance=30000, sex=2, education=2, marriage=2, age=22, pay0=0, pay2=0, pay3=0, pay4=0, pay5=0, pay6=0, bill1=28452, bill2=26145, bill3=26712, bill4=25350, bill5=17603, bill6=-780, payv1=2000, payv2=1400, payv3=0, payv4=500, payv5=0, payv6=1560, defaultPaymentNextMonth=0)
PaymentData(id=136, limitBalance=240000, sex=1, education=2, marriage=1, age=34, pay0=0, pay2=0, pay3=0, pay4=2, pay5=2, pay6=2, bill1=10674, bill2=12035, bill3=13681, bill4=13269, bill5=14158, bill6=13891, payv1=1500, payv2=1800, payv3=0, payv4=1000, payv5=0, payv6=327, defaultPaymentNextMonth=0)
PaymentData(id=139, limitBalance=50000, sex=2, education=3, marriage=1, age=51, pay0=-1, pay2=-1, pay3=-1, pay4=-1, pay5=-2, pay6=-2, bill1=752, bill2=300, bill3=5880, bill4=0, bill5=0, bill6=0, payv1=300, payv2=5880, payv3=0, payv4=0, payv5=0, payv6=0, defaultPaymentNextMonth=1)
